Date,Open,High,Low,Close,Adj Close,Volume
2012-10-12,69.000000,69.955559,68.111115,68.488892,37.428539,2475882
2012-10-15,68.555557,69.022224,67.688889,68.011108,37.167427,1901025
2012-10-16,68.344444,68.422218,66.555557,66.788887,36.499500,3064824
2012-10-17,66.900002,67.555557,66.611115,66.855553,36.535927,1597023
2012-10-18,67.044441,67.322220,66.466667,66.955559,36.590584,2461189
2012-10-19,66.766663,67.355553,66.455559,66.699997,36.450920,1649038
2012-10-22,66.888885,67.199997,66.344444,66.611115,36.402351,2001595
2012-10-23,66.866669,67.444443,66.688889,66.877777,36.548080,1096308
2012-10-25,67.111115,67.677780,66.788887,67.222221,36.736313,4142520
2012-10-29,67.444443,67.444443,66.344444,66.500000,36.341621,507042
2012-10-30,66.666664,66.944443,65.777779,66.211113,36.183746,1663101
2012-10-31,66.377777,66.844444,65.688889,66.377777,36.274837,1633113
2012-11-01,66.377777,66.744446,66.222221,66.444443,36.311268,1495993
2012-11-02,66.888885,67.699997,66.599998,66.811111,36.511646,4451166
2012-11-05,67.044441,67.633331,67.033333,67.388885,36.827393,1192428
2012-11-06,67.122223,67.333336,66.133331,66.444443,36.311268,2837659
2012-11-07,66.699997,66.811111,66.122223,66.544441,36.365913,1784556
2012-11-08,66.711113,68.777779,66.688889,68.333336,37.343529,4405842
2012-11-09,68.255554,68.822220,66.688889,67.000000,36.614868,1113259
2012-11-11,null,null,null,null,null,null
2012-11-12,67.111115,67.822220,66.699997,66.922218,36.572365,1381077
2012-11-15,67.111115,67.211113,65.577774,65.788887,35.953007,3906729
2012-11-16,65.988892,66.288887,65.177780,65.555557,35.825493,1898122
2012-11-19,65.066666,65.633331,63.644444,63.766666,34.847885,4854793
2012-11-20,64.000000,64.177780,62.666664,63.188889,34.532135,1675350
2012-11-21,63.333332,63.622223,62.888889,63.266666,34.574638,996534
2012-11-22,63.533333,63.555553,62.388889,62.555553,34.186024,2491591
2012-11-23,62.655556,62.955555,62.055553,62.144444,33.961365,2122042
2012-11-26,62.788887,62.788887,61.222221,61.288887,33.493805,1860124
2012-11-27,61.333332,62.400002,61.188889,61.622223,33.675968,3615295
2012-11-29,62.111111,63.577778,61.777779,63.333332,34.611073,3328632
2012-11-30,63.555553,64.244446,63.000000,63.766666,34.847885,1686222
2012-12-03,63.766666,64.633331,62.844444,64.300003,35.139351,1655523
2012-12-04,64.199997,65.011108,62.966667,63.166664,34.519989,4825071
2012-12-05,63.333332,64.088890,62.755554,63.733334,34.829670,4655034
2012-12-06,63.733334,64.400002,63.200001,64.000000,34.975407,1747174
2012-12-07,64.222221,65.522224,64.222221,64.455559,35.224358,2256790
2012-12-10,64.644447,64.977776,63.755554,64.044441,34.999683,993478
2012-12-11,64.222221,64.500000,63.044445,63.311111,34.598930,2890125
